category	name	action	resource	scope	accessType	isActive
{"ja":"管理権限"}	{"ja":"全般"}	manage	admin	all	WEB	TRUE
{"ja":"管理権限"}	{"ja":"全般"}	read	admin	all	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QR作成"}	create	qr	all	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QR更新"}	update	qr	all	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QR印刷"}	print	qr	all	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QR閲覧"}	read	qr	all	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QRアクセス"}	access	qr	own	KIOSK	TRUE
{"ja":"QRコード"}	{"ja":"QR取り消し申請"}	request	qr.revoke	own	BOTH	TRUE
{"ja":"QRコード"}	{"ja":"QR取り消し承認"}	approve	qr.revoke	team	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QR取り消し承認"}	approve	qr.revoke	all	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QR取り消し承認"}	create	qr.revoke	own	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QR取り消し承認"}	create	qr.revoke	team	WEB	TRUE
{"ja":"QRコード"}	{"ja":"QR取り消し承認"}	create	qr.revoke	all	WEB	TRUE
{"ja":"注文"}	{"ja":"注文作成"}	create	order	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文作成"}	create	order	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文作成"}	create	order	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文作成(ゾーン)"}	create	order	zone	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文更新(チーム)"}	update	order	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文更新(全て)"}	update	order	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文更新(自分の)"}	update	order	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文更新(ゾーン)"}	update	order	zone	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文承認(チーム)"}	approve	order	team	WEB	TRUE
{"ja":"注文"}	{"ja":"注文承認(全て)"}	approve	order	all	WEB	TRUE
{"ja":"注文"}	{"ja":"注文承認(ゾーン)"}	approve	order	zone	WEB	TRUE
{"ja":"注文"}	{"ja":"注文閲覧(自分の)"}	read	order	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文閲覧(チーム)"}	read	order	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文閲覧(全て)"}	read	order	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文閲覧(ゾーン)"}	read	order	zone	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文削除(自分の)"}	delete	order	own	WEB	TRUE
{"ja":"注文"}	{"ja":"注文削除(チーム)"}	delete	order	team	WEB	TRUE
{"ja":"注文"}	{"ja":"注文削除(全て)"}	delete	order	all	WEB	TRUE
{"ja":"注文"}	{"ja":"注文削除(ゾーン)"}	delete	order	zone	WEB	TRUE
{"ja":"注文"}	{"ja":"注文受取書作成(自分の)"}	create	order.receipt	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書作成(チーム)"}	create	order.receipt	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書作成(全て)"}	create	order.receipt	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書閲覧(自分の)"}	read	order.receipt	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書閲覧(チーム)"}	read	order.receipt	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書閲覧(全て)"}	read	order.receipt	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書更新(自分の)"}	update	order.receipt	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書更新(チーム)"}	update	order.receipt	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書更新(全て)"}	update	order.receipt	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文受取書削除(自分の)"}	delete	order.receipt	own	WEB	TRUE
{"ja":"注文"}	{"ja":"注文受取書削除(チーム)"}	delete	order.receipt	team	WEB	TRUE
{"ja":"注文"}	{"ja":"注文受取書削除(全て)"}	delete	order.receipt	all	WEB	TRUE
{"ja":"製品"}	{"ja":"製品作成"}	create	item	own	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品作成"}	create	item	team	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品作成"}	create	item	all	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品作成(ゾーン)"}	create	item	zone	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品更新(自分の)"}	update	item	own	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品更新(チーム)"}	update	item	team	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品更新(全て)"}	update	item	all	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品更新(ゾーン)"}	update	item	zone	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品強制"}	force	item	all	WEB	TRUE
{"ja":"製品"}	{"ja":"製品強制(ゾーン)"}	force	item	zone	WEB	TRUE
{"ja":"製品"}	{"ja":"製品閲覧(自分の)"}	read	item	own	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品閲覧(チーム)"}	read	item	team	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品閲覧(全て)"}	read	item	all	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品閲覧(ゾーン)"}	read	item	zone	BOTH	TRUE
{"ja":"製品"}	{"ja":"製品削除"}	delete	item	own	WEB	TRUE
{"ja":"製品"}	{"ja":"製品削除"}	delete	item	team	WEB	TRUE
{"ja":"製品"}	{"ja":"製品削除"}	delete	item	all	WEB	TRUE
{"ja":"製品"}	{"ja":"製品削除(ゾーン)"}	delete	item	zone	WEB	TRUE
{"ja":"注文"}	{"ja":"注文プロセス作成(チーム)"}	create	order.process	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス作成(全て)"}	create	order.process	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス作成(ゾーン)"}	create	order.process	zone	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス閲覧(自分の)"}	read	order.process	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス閲覧(チーム)"}	read	order.process	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス閲覧(全て)"}	read	order.process	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス閲覧(ゾーン)"}	read	order.process	zone	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス強制(チーム)"}	force	order.process	team	WEB	TRUE
{"ja":"注文"}	{"ja":"注文プロセス強制(全て)"}	force	order.process	all	WEB	TRUE
{"ja":"注文"}	{"ja":"注文プロセス強制(ゾーン)"}	force	order.process	zone	WEB	TRUE
{"ja":"注文"}	{"ja":"注文プロセス更新(自分の)"}	update	order.process	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス更新(チーム)"}	update	order.process	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス更新(全て)"}	update	order.process	all	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセス更新(ゾーン)"}	update	order.process	zone	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセスログ作成(自分の)"}	create	order.processLog	own	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセスログ作成(チーム)"}	create	order.processLog	team	BOTH	TRUE
{"ja":"注文"}	{"ja":"注文プロセスログ作成(全て)"}	create	order.processLog	all	BOTH	TRUE
